sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
,,,,,,8023100,dietary fibre,21703,
,,,,,,4041020,milk & milk products,0,
,,,,,,39021000,packing material (ldpe/hdpe/pp),34787,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
10,310713518,23/10/2012,09/12/2019,V.S. IMPEX,16142,11090000,wheat flour,20544,INNSA1
,03/90/076/00037/AM13,,,,,17019990,cane sugar,20632,
,,,,,,15119020,vegetable shortening/cream/fats/spray fats rbd palmolein oil,0,
,,,,,,21021020,leaving agent/ dough conditioner,434,
,,,,,,38000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,108,
,,,,,,8023100,relevant food flavour,1737,
,,,,,,11081300,starch,542,
,,,,,,32000000,relevant food colour,10,
,,,,,,29362990,anti oxidant,10,
,,,,,,8023100,fruit / coco powder,977,
,,,,,,8023100,dietary fibre,3257,
,,,,,,4041020,milk & milk products,0,
,,,,,,39021000,packing material (ldpe/hdpe/pp),0,
